#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value
extrinsic apoptotic signaling pathway via death domain receptors,Gene Ontology,GO:0008625,2,70,0.03682497,0.224583421
ureteric bud morphogenesis,Gene Ontology,GO:0060675,2,70,0.03682497,0.224583421
N-terminal protein acetyltransferase complex,Gene Ontology,GO:0031414,1,8,0.037000334,0.224583421
positive regulation of protein kinase C signaling,Gene Ontology,GO:0090037,1,8,0.037000334,0.224583421
positive regulation of DNA-dependent DNA replication,Gene Ontology,GO:2000105,1,8,0.037000334,0.224583421
positive regulation of vascular permeability,Gene Ontology,GO:0043117,1,8,0.037000334,0.224583421
mast cell migration,Gene Ontology,GO:0097531,1,8,0.037000334,0.224583421
regulation of DNA endoreduplication,Gene Ontology,GO:0032875,1,8,0.037000334,0.224583421
immature T cell proliferation,Gene Ontology,GO:0033079,1,8,0.037000334,0.224583421
glucose 6-phosphate metabolic process,Gene Ontology,GO:0051156,1,8,0.037000334,0.224583421
axon guidance receptor activity,Gene Ontology,GO:0008046,1,8,0.037000334,0.224583421
"intramolecular oxidoreductase activity, interconverting aldoses and ketoses",Gene Ontology,GO:0016861,1,8,0.037000334,0.224583421
coronary vasculature morphogenesis,Gene Ontology,GO:0060977,1,8,0.037000334,0.224583421
positive regulation of T cell differentiation in thymus,Gene Ontology,GO:0033089,1,8,0.037000334,0.224583421
enucleate erythrocyte differentiation,Gene Ontology,GO:0043353,1,8,0.037000334,0.224583421
positive regulation of transcription from RNA polymerase II promoter in response to stress,Gene Ontology,GO:0036003,1,8,0.037000334,0.224583421
gas homeostasis,Gene Ontology,GO:0033483,1,8,0.037000334,0.224583421
positive regulation of neurotransmitter secretion,Gene Ontology,GO:0001956,1,8,0.037000334,0.224583421
metanephric collecting duct development,Gene Ontology,GO:0072205,1,8,0.037000334,0.224583421
DNA endoreduplication,Gene Ontology,GO:0042023,1,8,0.037000334,0.224583421
natural killer cell proliferation,Gene Ontology,GO:0001787,1,8,0.037000334,0.224583421
trachea morphogenesis,Gene Ontology,GO:0060439,1,8,0.037000334,0.224583421
mast cell chemotaxis,Gene Ontology,GO:0002551,1,8,0.037000334,0.224583421
negative regulation of cell division,Gene Ontology,GO:0051782,1,8,0.037000334,0.224583421
regulation of cellular extravasation,Gene Ontology,GO:0002691,1,8,0.037000334,0.224583421
cytokine binding,Gene Ontology,GO:0019955,2,71,0.037759429,0.226177476
eye development,Gene Ontology,GO:0001654,4,297,0.038687176,0.226177476
mammary gland epithelium development,Gene Ontology,GO:0061180,2,72,0.038702907,0.226177476
secretion by tissue,Gene Ontology,GO:0032941,2,72,0.038702907,0.226177476
vasculogenesis,Gene Ontology,GO:0001570,2,73,0.039655313,0.226177476
positive regulation of protein kinase B signaling,Gene Ontology,GO:0051897,2,73,0.039655313,0.226177476
developmental growth,Gene Ontology,GO:0048589,4,300,0.039876863,0.226177476
mesenchyme development,Gene Ontology,GO:0060485,3,176,0.039921098,0.226177476
myeloid cell differentiation,Gene Ontology,GO:0030099,4,301,0.040278009,0.226177476
regulation of protein phosphorylation,Gene Ontology,GO:0001932,8,904,0.040356763,0.226177476
positive regulation of cell projection organization,Gene Ontology,GO:0031346,3,177,0.040475468,0.226177476
establishment of cell polarity,Gene Ontology,GO:0030010,2,74,0.040616555,0.226177476
granulocyte migration,Gene Ontology,GO:0097530,2,74,0.040616555,0.226177476
regulation of transcription factor import into nucleus,Gene Ontology,GO:0042990,2,74,0.040616555,0.226177476
positive regulation of cell-substrate adhesion,Gene Ontology,GO:0010811,2,74,0.040616555,0.226177476
aldehyde catabolic process,Gene Ontology,GO:0046185,1,9,0.041026044,0.226177476
venous blood vessel morphogenesis,Gene Ontology,GO:0048845,1,9,0.041026044,0.226177476
cell trailing edge,Gene Ontology,GO:0031254,1,9,0.041026044,0.226177476
megakaryocyte development,Gene Ontology,GO:0035855,1,9,0.041026044,0.226177476
uropod,Gene Ontology,GO:0001931,1,9,0.041026044,0.226177476
regulation of endothelial cell chemotaxis,Gene Ontology,GO:2001026,1,9,0.041026044,0.226177476
receptor signaling protein tyrosine kinase activity,Gene Ontology,GO:0004716,1,9,0.041026044,0.226177476
ventricular trabecula myocardium morphogenesis,Gene Ontology,GO:0003222,1,9,0.041026044,0.226177476
regulation of p38MAPK cascade,Gene Ontology,GO:1900744,1,9,0.041026044,0.226177476
development of secondary female sexual characteristics,Gene Ontology,GO:0046543,1,9,0.041026044,0.226177476
G0 to G1 transition,Gene Ontology,GO:0045023,1,9,0.041026044,0.226177476
spindle pole centrosome,Gene Ontology,GO:0031616,1,9,0.041026044,0.226177476
positive regulation of tyrosine phosphorylation of Stat1 protein,Gene Ontology,GO:0042511,1,9,0.041026044,0.226177476
contractile ring,Gene Ontology,GO:0070938,1,9,0.041026044,0.226177476
layer formation in cerebral cortex,Gene Ontology,GO:0021819,1,9,0.041026044,0.226177476
positive regulation of intracellular estrogen receptor signaling pathway,Gene Ontology,GO:0033148,1,9,0.041026044,0.226177476
positive regulation of protein kinase activity,Gene Ontology,GO:0045860,5,442,0.041204204,0.226177476
cell-cell junction,Gene Ontology,GO:0005911,4,304,0.041495199,0.226177476
transcription factor import into nucleus,Gene Ontology,GO:0042991,2,75,0.041586542,0.226177476
core promoter binding,Gene Ontology,GO:0001047,2,75,0.041586542,0.226177476
fibroblast proliferation,Gene Ontology,GO:0048144,2,75,0.041586542,0.226177476
regulation of peptidyl-tyrosine phosphorylation,Gene Ontology,GO:0050730,3,179,0.041595858,0.226177476
positive regulation of response to stimulus,Gene Ontology,GO:0048584,11,1422,0.041811146,0.226672838
cell-cell adhesion,Gene Ontology,GO:0016337,5,444,0.041860654,0.226672838
endoplasmic reticulum lumen,Gene Ontology,GO:0005788,3,180,0.042161863,0.227831183
response to steroid hormone,Gene Ontology,GO:0048545,4,306,0.042318117,0.22820307
positive regulation of cellular protein metabolic process,Gene Ontology,GO:0032270,8,917,0.043197814,0.231976349
palate development,Gene Ontology,GO:0060021,2,77,0.043552395,0.231976349
positive regulation of cell division,Gene Ontology,GO:0051781,2,78,0.044548082,0.231976349
sphingosine metabolic process,Gene Ontology,GO:0006670,1,10,0.045034927,0.231976349
dense core granule,Gene Ontology,GO:0031045,1,10,0.045034927,0.231976349
peroxisome proliferator activated receptor binding,Gene Ontology,GO:0042975,1,10,0.045034927,0.231976349
lung-associated mesenchyme development,Gene Ontology,GO:0060484,1,10,0.045034927,0.231976349
cartilage morphogenesis,Gene Ontology,GO:0060536,1,10,0.045034927,0.231976349
regulation of granulocyte macrophage colony-stimulating factor production,Gene Ontology,GO:0032645,1,10,0.045034927,0.231976349
positive regulation of intracellular steroid hormone receptor signaling pathway,Gene Ontology,GO:0033145,1,10,0.045034927,0.231976349
positive regulation of Rho protein signal transduction,Gene Ontology,GO:0035025,1,10,0.045034927,0.231976349
granulocyte macrophage colony-stimulating factor production,Gene Ontology,GO:0032604,1,10,0.045034927,0.231976349
surfactant homeostasis,Gene Ontology,GO:0043129,1,10,0.045034927,0.231976349
p38MAPK cascade,Gene Ontology,GO:0038066,1,10,0.045034927,0.231976349
regulation of establishment of cell polarity,Gene Ontology,GO:2000114,1,10,0.045034927,0.231976349
bronchus development,Gene Ontology,GO:0060433,1,10,0.045034927,0.231976349
regulation of cell growth,Gene Ontology,GO:0001558,4,313,0.045270471,0.231976349
positive regulation of leukocyte migration,Gene Ontology,GO:0002687,2,79,0.045552159,0.232662843
hemopoiesis,Gene Ontology,GO:0030097,6,606,0.04564114,0.232662843
integrin-mediated signaling pathway,Gene Ontology,GO:0007229,2,80,0.046564538,0.236907299
protein autophosphorylation,Gene Ontology,GO:0046777,3,188,0.046828262,0.237191438
establishment of protein localization to organelle,Gene Ontology,GO:0072594,5,462,0.048052071,0.237191438
tissue development,Gene Ontology,GO:0009888,11,1458,0.048274753,0.237191438
body fluid secretion,Gene Ontology,GO:0007589,2,82,0.048613855,0.237191438
cell junction assembly,Gene Ontology,GO:0034329,3,191,0.048641007,0.237191438
"wound healing, spreading of epidermal cells",Gene Ontology,GO:0035313,1,11,0.049027054,0.237191438
positive regulation of keratinocyte differentiation,Gene Ontology,GO:0045618,1,11,0.049027054,0.237191438
tumor necrosis factor-activated receptor activity,Gene Ontology,GO:0005031,1,11,0.049027054,0.237191438
germ cell migration,Gene Ontology,GO:0008354,1,11,0.049027054,0.237191438
diol metabolic process,Gene Ontology,GO:0034311,1,11,0.049027054,0.237191438
cellular response to thyroid hormone stimulus,Gene Ontology,GO:0097067,1,11,0.049027054,0.237191438
positive regulation of interleukin-17 production,Gene Ontology,GO:0032740,1,11,0.049027054,0.237191438
hepatocyte differentiation,Gene Ontology,GO:0070365,1,11,0.049027054,0.237191438
positive regulation of SMAD protein import into nucleus,Gene Ontology,GO:0060391,1,11,0.049027054,0.237191438
platelet-derived growth factor binding,Gene Ontology,GO:0048407,1,11,0.049027054,0.237191438
actin-dependent ATPase activity,Gene Ontology,GO:0030898,1,11,0.049027054,0.237191438
anatomical structure regression,Gene Ontology,GO:0060033,1,11,0.049027054,0.237191438
corpus callosum development,Gene Ontology,GO:0022038,1,11,0.049027054,0.237191438
loop of Henle development,Gene Ontology,GO:0072070,1,11,0.049027054,0.237191438
I-SMAD binding,Gene Ontology,GO:0070411,1,11,0.049027054,0.237191438
N-terminal protein amino acid acetylation,Gene Ontology,GO:0006474,1,11,0.049027054,0.237191438
positive regulation of kinase activity,Gene Ontology,GO:0033674,5,465,0.049133708,0.237191438
regulation of neurogenesis,Gene Ontology,GO:0050767,5,465,0.049133708,0.237191438
tumor necrosis factor superfamily cytokine production,Gene Ontology,GO:0071706,2,83,0.049650622,0.237776372
epithelial to mesenchymal transition,Gene Ontology,GO:0001837,2,83,0.049650622,0.237776372
response to amino acid,Gene Ontology,GO:0043200,2,85,0.051747943,0.244277296
regulation of endothelial cell migration,Gene Ontology,GO:0010594,2,85,0.051747943,0.244277296
regulation of cell-cell adhesion,Gene Ontology,GO:0022407,2,85,0.051747943,0.244277296
regulation of cell projection organization,Gene Ontology,GO:0031344,4,328,0.051973811,0.244277296
response to lipid,Gene Ontology,GO:0033993,6,627,0.052091649,0.244277296
regulation of cell proliferation,Gene Ontology,GO:0042127,10,1301,0.052319762,0.244277296
smooth muscle contraction,Gene Ontology,GO:0006939,2,86,0.05280833,0.244277296
cell-cell adhesion mediated by integrin,Gene Ontology,GO:0033631,1,12,0.053002495,0.244277296
development of secondary sexual characteristics,Gene Ontology,GO:0045136,1,12,0.053002495,0.244277296
RNA polymerase core enzyme binding,Gene Ontology,GO:0043175,1,12,0.053002495,0.244277296
positive regulation of neurotransmitter transport,Gene Ontology,GO:0051590,1,12,0.053002495,0.244277296
chemical homeostasis within a tissue,Gene Ontology,GO:0048875,1,12,0.053002495,0.244277296
lens fiber cell development,Gene Ontology,GO:0070307,1,12,0.053002495,0.244277296
cellular response to vitamin D,Gene Ontology,GO:0071305,1,12,0.053002495,0.244277296
specific granule,Gene Ontology,GO:0042581,1,12,0.053002495,0.244277296
regulation of tumor necrosis factor-mediated signaling pathway,Gene Ontology,GO:0010803,1,12,0.053002495,0.244277296
collecting duct development,Gene Ontology,GO:0072044,1,12,0.053002495,0.244277296
positive regulation of T cell apoptotic process,Gene Ontology,GO:0070234,1,12,0.053002495,0.244277296
positive regulation of transferase activity,Gene Ontology,GO:0051347,5,477,0.053602711,0.245014141
apoptotic process,Gene Ontology,GO:0006915,12,1668,0.053920455,0.245632845
adherens junction,Gene Ontology,GO:0005912,3,201,0.054926801,0.245632845
fatty acid derivative metabolic process,Gene Ontology,GO:1901568,2,88,0.054952137,0.245632845
icosanoid metabolic process,Gene Ontology,GO:0006690,2,88,0.054952137,0.245632845
cell surface receptor signaling pathway,Gene Ontology,GO:0007166,17,2612,0.055033367,0.245632845
regulation of intracellular signal transduction,Gene Ontology,GO:1902531,10,1314,0.05514274,0.245632845
negative regulation of developmental process,Gene Ontology,GO:0051093,6,638,0.055680759,0.245632845
platelet formation,Gene Ontology,GO:0030220,1,13,0.05696132,0.245632845
post-embryonic organ development,Gene Ontology,GO:0048569,1,13,0.05696132,0.245632845
platelet morphogenesis,Gene Ontology,GO:0036344,1,13,0.05696132,0.245632845
positive regulation of bone resorption,Gene Ontology,GO:0045780,1,13,0.05696132,0.245632845
vascular endothelial growth factor signaling pathway,Gene Ontology,GO:0038084,1,13,0.05696132,0.245632845
positive regulation of bone remodeling,Gene Ontology,GO:0046852,1,13,0.05696132,0.245632845
mRNA transcription from RNA polymerase II promoter,Gene Ontology,GO:0042789,1,13,0.05696132,0.245632845
vascular smooth muscle cell differentiation,Gene Ontology,GO:0035886,1,13,0.05696132,0.245632845
interleukin-13 production,Gene Ontology,GO:0032616,1,13,0.05696132,0.245632845
regulation of tyrosine phosphorylation of Stat1 protein,Gene Ontology,GO:0042510,1,13,0.05696132,0.245632845
positive regulation of membrane protein ectodomain proteolysis,Gene Ontology,GO:0051044,1,13,0.05696132,0.245632845
sphingoid metabolic process,Gene Ontology,GO:0046519,1,13,0.05696132,0.245632845
positive regulation of CREB transcription factor activity,Gene Ontology,GO:0032793,1,13,0.05696132,0.245632845
trophoblast giant cell differentiation,Gene Ontology,GO:0060707,1,13,0.05696132,0.245632845
peroxisome proliferator activated receptor signaling pathway,Gene Ontology,GO:0035357,1,13,0.05696132,0.245632845
trachea development,Gene Ontology,GO:0060438,1,13,0.05696132,0.245632845
eosinophil migration,Gene Ontology,GO:0072677,1,13,0.05696132,0.245632845
response to magnesium ion,Gene Ontology,GO:0032026,1,13,0.05696132,0.245632845
death receptor activity,Gene Ontology,GO:0005035,1,13,0.05696132,0.245632845
regulation of establishment or maintenance of cell polarity,Gene Ontology,GO:0032878,1,13,0.05696132,0.245632845
collagen,Gene Ontology,GO:0005581,2,90,0.057126106,0.245632845
regulation of T cell differentiation,Gene Ontology,GO:0045580,2,90,0.057126106,0.245632845
positive regulation of macromolecule metabolic process,Gene Ontology,GO:0010604,14,2058,0.057566739,0.246155344
programmed cell death,Gene Ontology,GO:0012501,12,1687,0.057624872,0.246155344
positive regulation of MAPK cascade,Gene Ontology,GO:0043410,4,341,0.058196294,0.247693078
basement membrane,Gene Ontology,GO:0005604,2,92,0.059329585,0.247957773
positive regulation of cell cycle process,Gene Ontology,GO:0090068,3,208,0.059545538,0.247957773
positive regulation of sequence-specific DNA binding transcription factor activity,Gene Ontology,GO:0051091,3,208,0.059545538,0.247957773
protein phosphatase binding,Gene Ontology,GO:0019903,2,93,0.060442189,0.247957773
adherens junction organization,Gene Ontology,GO:0034332,2,93,0.060442189,0.247957773
regulation of cytokine-mediated signaling pathway,Gene Ontology,GO:0001959,2,93,0.060442189,0.247957773
"wound healing, spreading of cells",Gene Ontology,GO:0044319,1,14,0.060903597,0.247957773
positive regulation of protein autophosphorylation,Gene Ontology,GO:0031954,1,14,0.060903597,0.247957773
lymph vessel morphogenesis,Gene Ontology,GO:0036303,1,14,0.060903597,0.247957773
cyclooxygenase pathway,Gene Ontology,GO:0019371,1,14,0.060903597,0.247957773
chemokine biosynthetic process,Gene Ontology,GO:0042033,1,14,0.060903597,0.247957773
coronary vasculature development,Gene Ontology,GO:0060976,1,14,0.060903597,0.247957773
dopaminergic neuron differentiation,Gene Ontology,GO:0071542,1,14,0.060903597,0.247957773
negative regulation of chondrocyte differentiation,Gene Ontology,GO:0032331,1,14,0.060903597,0.247957773
